T04AAA                 PLANTA AUTOMOTRIZ P-A-A-AAAAAA
T04BBB                 PLANTA BIOTECNOLOGICA P-A-A-AA
T04CCC                 PLANTA COMERCIO P-AAAAAAAAAAAA
T04DDD                 PLANTA DALIN    PAAAA-AAAAAAAA
T04SWA
T05AAAJJJJJJ           DEPARTAMENTO RECURSOS HUMANOS 
T05AAAMMMMMM           DEPARTAMENTO REPARACIONES A CL
T05AAANNNNNN           DEPARTAMENTO REPARACIONES A XL
T05BBBOOOOOO           DEPARTAMENTO ROBOTICA Y MAQUIN
T05CCCPPPPPP           DEPARTAMENTO COBRANZA A CLIENT
T05CCCRRRRRR           DEPARTAMENTO COBRANZA A PROVEE
T05CCCSSSSSS           DEPARTAMENTO COBRANZA A EMPLEA
T05DDDSSWWAA           DEPARTAMENTO DEPORTIVO ACUATIC
